date,he,coal,gas,hydro,nuclear,other,wind
2012-01-28,24,0.184793,0.316163,0.381046,0.805283,0.317799,0.926196
2012-01-29,1,0.184791,0.317895,0.354866,0.805397,0.320458,0.918060
2012-01-29,2,0.183599,0.303860,0.340631,0.805276,0.318867,0.909027
2012-01-29,3,0.183107,0.288228,0.329719,0.868258,0.322595,0.878949
2012-01-29,4,0.182873,0.298533,0.317145,0.868387,0.322595,0.843344
2012-01-29,5,0.182873,0.305040,0.304990,0.805416,0.322595,0.817020
2012-01-29,6,0.183107,0.312164,0.381701,0.776539,0.323663,0.817053
2012-01-29,7,0.186669,0.327242,0.429775,0.806157,0.323663,0.795986
2012-01-29,8,0.185543,0.315389,0.477632,0.743536,0.323663,0.706646
2012-01-29,9,0.183824,0.341669,0.477965,0.805917,0.321004,0.594686
2012-01-29,10,0.182858,0.365911,0.511988,0.806112,0.323663,0.539370
2012-01-29,11,0.182141,0.407798,0.523095,0.805945,0.323663,0.511238
2012-01-29,12,0.182141,0.405107,0.542513,0.806188,0.323663,0.494878
2012-01-29,13,0.181665,0.411078,0.536115,0.743092,0.323663,0.542069
2012-01-29,14,0.182375,0.411371,0.513506,0.805833,0.323663,0.590661
2012-01-29,15,0.182133,0.422720,0.523000,0.805590,0.323663,0.598643
2012-01-29,16,0.181899,0.426687,0.545081,0.743073,0.323663,0.624501
2012-01-29,17,0.187666,0.458719,0.566866,0.804996,0.321004,0.635806
2012-01-29,18,0.157114,0.525849,0.644013,0.805558,0.322072,0.617187
2012-01-29,19,0.175108,0.557310,0.666769,0.805873,0.325800,0.648597
2012-01-29,20,0.098271,0.545961,0.621397,0.806042,0.322072,0.601431
2012-01-29,21,0.101335,0.551415,0.612831,0.805844,0.322072,0.582315
2012-01-29,22,0.081877,0.547214,0.523940,0.805669,0.325800,0.687697
2012-01-29,23,0.072772,0.473313,0.437899,0.805014,0.322072,0.695704
2012-01-29,24,0.072787,0.450609,0.390333,0.805081,0.325800,0.616572
2012-01-30,1,0.073204,0.388633,0.377329,0.805414,0.325800,0.555414
2012-01-30,2,0.079220,0.341812,0.355983,0.743376,0.323141,0.477803
2012-01-30,3,0.102558,0.338151,0.309878,0.743616,0.323141,0.422117
2012-01-30,4,0.091109,0.349888,0.326017,0.805876,0.448141,0.397198
2012-01-30,5,0.071300,0.406205,0.356364,0.805216,0.371414,0.381011
2012-01-30,6,0.095003,0.460488,0.416255,0.804791,0.379062,0.342008
2012-01-30,7,0.190817,0.537265,0.535094,0.804670,0.387862,0.291881
2012-01-30,8,0.263925,0.602020,0.611103,0.804750,0.413020,0.230907
2012-01-30,9,0.268598,0.615851,0.624707,0.805026,0.450246,0.241463
2012-01-30,10,0.182248,0.573210,0.582453,0.805144,0.529748,0.252769
2012-01-30,11,0.180649,0.578212,0.603945,0.742476,0.538025,0.319717
2012-01-30,12,0.168478,0.582521,0.548297,0.742596,0.538025,0.384304
2012-01-30,13,0.146365,0.603680,0.542517,0.805144,0.538025,0.424258
2012-01-30,14,0.132190,0.601938,0.530100,0.804896,0.456283,0.430028
2012-01-30,15,0.135414,0.612979,0.544321,0.742525,0.411956,0.482527
2012-01-30,16,0.140970,0.619801,0.562571,0.804783,0.416837,0.543758
2012-01-30,17,0.247960,0.645481,0.591269,0.742447,0.407599,0.566722
2012-01-30,18,0.326916,0.671468,0.657632,0.804516,0.401458,0.559599
2012-01-30,19,0.349260,0.665629,0.627984,0.804628,0.402526,0.580388
2012-01-30,20,0.257215,0.670610,0.606930,0.805820,0.396577,0.477648
2012-01-30,21,0.267198,0.658270,0.576204,0.806015,0.394441,0.463343
2012-01-30,22,0.211532,0.626834,0.525296,0.806205,0.395509,0.527405
2012-01-30,23,0.138124,0.550378,0.465051,0.806256,0.395509,0.597336
2012-01-30,24,0.116303,0.481842,0.398147,0.743440,0.368125,0.600527
2012-01-31,1,0.115337,0.393265,0.333396,0.743241,0.365274,0.589327
2012-01-31,2,0.115330,0.362747,0.336328,0.743313,0.362614,0.590759
2012-01-31,3,0.131795,0.355148,0.313159,0.743525,0.361546,0.603193
2012-01-31,4,0.117866,0.360882,0.309619,0.805856,0.361546,0.625687
2012-01-31,5,0.116034,0.372131,0.311130,0.743429,0.362069,0.628783
2012-01-31,6,0.114829,0.408481,0.417003,0.743435,0.358341,0.632279
2012-01-31,7,0.119673,0.455661,0.485112,0.743300,0.371606,0.625483
2012-01-31,8,0.166447,0.515960,0.582867,0.806160,0.386462,0.643592
2012-01-31,9,0.181161,0.501545,0.558322,0.743347,0.387092,0.653463
2012-01-31,10,0.186398,0.517568,0.572728,0.743539,0.392411,0.661549
2012-01-31,11,0.184138,0.500382,0.576792,0.743074,0.396662,0.691272
2012-01-31,12,0.183896,0.490229,0.574098,0.743117,0.399321,0.705710
2012-01-31,13,0.183662,0.470692,0.551234,0.743027,0.396662,0.721635
2012-01-31,14,0.183896,0.442058,0.551241,0.742874,0.395593,0.722239
2012-01-31,15,0.183896,0.450331,0.541080,0.743629,0.517934,0.705811
2012-01-31,16,0.182746,0.472897,0.549851,0.743707,0.424165,0.704378
2012-01-31,17,0.181606,0.482393,0.579350,0.743224,0.427498,0.727654
2012-01-31,18,0.152859,0.493974,0.666507,0.743663,0.438494,0.767706
